index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-89f7146e-9864-a874-a024-4b4c620d8f98,460.32.03,Tesla V100-SXM2-32GB,1565019013376,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,6,32510,20580,11930,2023/07/01 11:48:28.299
0,0,32510,20580,11930,2023/07/01 11:48:58.352
0,0,32510,20580,11930,2023/07/01 11:49:28.391
0,0,32510,20580,11930,2023/07/01 11:49:58.426
0,42,32510,20580,11930,2023/07/01 11:50:28.539
0,33,32510,20580,11930,2023/07/01 11:50:58.582
0,0,32510,20580,11930,2023/07/01 11:51:28.673
0,23,32510,20580,11930,2023/07/01 11:51:58.761
0,61,32510,20580,11930,2023/07/01 11:52:28.850
0,0,32510,20580,11930,2023/07/01 11:52:58.912
0,18,32510,20580,11930,2023/07/01 11:53:28.952
0,3,32510,20580,11930,2023/07/01 11:53:59.010
0,39,32510,20580,11930,2023/07/01 11:54:29.073
0,0,32510,20580,11930,2023/07/01 11:54:59.154
0,31,32510,20580,11930,2023/07/01 11:55:29.238
0,0,32510,20580,11930,2023/07/01 11:55:59.274
0,60,32510,20580,11930,2023/07/01 11:56:29.341
0,0,32510,20580,11930,2023/07/01 11:56:59.402
0,81,32510,20580,11930,2023/07/01 11:57:29.494
0,0,32510,20580,11930,2023/07/01 11:57:59.561
0,0,32510,20580,11930,2023/07/01 11:58:29.622
0,0,32510,20580,11930,2023/07/01 11:58:59.693
0,37,32510,20580,11930,2023/07/01 11:59:29.761
0,33,32510,20580,11930,2023/07/01 11:59:59.849
0,0,32510,20580,11930,2023/07/01 12:00:29.953
0,30,32510,20580,11930,2023/07/01 12:01:00.051
0,0,32510,20580,11930,2023/07/01 12:01:30.116
0,75,32510,20580,11930,2023/07/01 12:02:00.192
0,0,32510,20580,11930,2023/07/01 12:02:30.293
0,0,32510,20580,11930,2023/07/01 12:03:00.363
0,0,32510,20580,11930,2023/07/01 12:03:30.446
0,90,32510,20580,11930,2023/07/01 12:04:00.506
0,0,32510,20580,11930,2023/07/01 12:04:30.555
0,36,32510,20580,11930,2023/07/01 12:05:00.591
0,0,32510,20580,11930,2023/07/01 12:05:30.660
0,0,32510,20580,11930,2023/07/01 12:06:00.717
0,0,32510,20580,11930,2023/07/01 12:06:30.790
0,0,32510,20580,11930,2023/07/01 12:07:00.840
0,0,32510,20580,11930,2023/07/01 12:07:30.901
0,0,32510,20580,11930,2023/07/01 12:08:00.967
0,49,32510,20580,11930,2023/07/01 12:08:31.052
0,0,32510,20580,11930,2023/07/01 12:09:01.114
0,35,32510,20580,11930,2023/07/01 12:09:31.162
0,0,32510,20580,11930,2023/07/01 12:10:01.249
0,52,32510,20580,11930,2023/07/01 12:10:31.300
0,81,32510,20580,11930,2023/07/01 12:11:01.363
0,0,32510,20580,11930,2023/07/01 12:11:31.446
0,0,32510,20580,11930,2023/07/01 12:12:01.485
0,100,32510,20580,11930,2023/07/01 12:12:31.561
0,0,32510,20580,11930,2023/07/01 12:13:01.638
0,0,32510,20580,11930,2023/07/01 12:13:31.686
0,0,32510,20580,11930,2023/07/01 12:14:01.740
0,0,32510,20580,11930,2023/07/01 12:14:31.801
0,0,32510,20580,11930,2023/07/01 12:15:01.849
0,0,32510,20580,11930,2023/07/01 12:15:31.911
0,42,32510,20580,11930,2023/07/01 12:16:01.975
0,0,32510,20580,11930,2023/07/01 12:16:32.017
0,0,32510,20580,11930,2023/07/01 12:17:02.063
0,0,32510,20580,11930,2023/07/01 12:17:32.123
0,22,32510,20580,11930,2023/07/01 12:18:02.238
0,100,32510,20580,11930,2023/07/01 12:18:32.302
0,0,32510,20580,11930,2023/07/01 12:19:02.366
0,77,32510,20580,11930,2023/07/01 12:19:32.454
0,0,32510,20580,11930,2023/07/01 12:20:02.510
0,0,32510,20580,11930,2023/07/01 12:20:32.574
0,0,32510,20580,11930,2023/07/01 12:21:02.612
0,16,32510,20580,11930,2023/07/01 12:21:32.675
0,0,32510,20580,11930,2023/07/01 12:22:02.747
0,45,32510,20580,11930,2023/07/01 12:22:32.851
0,15,32510,20580,11930,2023/07/01 12:23:02.937
0,0,32510,20580,11930,2023/07/01 12:23:32.996
0,0,32510,20580,11930,2023/07/01 12:24:03.037
0,0,32510,20580,11930,2023/07/01 12:24:33.075
0,0,32510,20580,11930,2023/07/01 12:25:03.140
0,0,32510,20580,11930,2023/07/01 12:25:33.253
0,0,32510,20580,11930,2023/07/01 12:26:03.313
0,0,32510,20580,11930,2023/07/01 12:26:33.360
0,2,32510,20580,11930,2023/07/01 12:27:03.422
0,0,32510,20580,11930,2023/07/01 12:27:33.472
0,0,32510,20580,11930,2023/07/01 12:28:03.514
0,0,32510,20580,11930,2023/07/01 12:28:33.562
0,29,32510,20580,11930,2023/07/01 12:29:03.661
0,0,32510,20580,11930,2023/07/01 12:29:33.755
0,0,32510,20580,11930,2023/07/01 12:30:03.814
0,0,32510,20580,11930,2023/07/01 12:30:33.875
0,4,32510,20580,11930,2023/07/01 12:31:03.937
0,0,32510,20580,11930,2023/07/01 12:31:33.998
0,60,32510,20580,11930,2023/07/01 12:32:04.063
0,20,32510,20580,11930,2023/07/01 12:32:34.103
0,0,32510,20580,11930,2023/07/01 12:33:04.166
0,100,32510,20580,11930,2023/07/01 12:33:34.209
0,0,32510,20580,11930,2023/07/01 12:34:04.251
0,0,32510,20580,11930,2023/07/01 12:34:34.319
0,0,32510,20580,11930,2023/07/01 12:35:04.387
0,0,32510,20580,11930,2023/07/01 12:35:34.449
0,0,32510,20580,11930,2023/07/01 12:36:04.506
0,74,32510,20580,11930,2023/07/01 12:36:34.565
0,100,32510,20580,11930,2023/07/01 12:37:04.632
0,14,32510,20580,11930,2023/07/01 12:37:34.690
0,0,32510,20580,11930,2023/07/01 12:38:04.793
0,10,32510,20580,11930,2023/07/01 12:38:34.862
0,31,32510,20580,11930,2023/07/01 12:39:04.945
0,0,32510,20580,11930,2023/07/01 12:39:35.004
0,0,32510,20580,11930,2023/07/01 12:40:05.062
0,0,32510,20580,11930,2023/07/01 12:40:35.121
0,99,32510,20580,11930,2023/07/01 12:41:05.186
0,0,32510,20580,11930,2023/07/01 12:41:35.273
0,0,32510,20580,11930,2023/07/01 12:42:05.364
0,0,32510,20580,11930,2023/07/01 12:42:35.432
0,89,32510,20580,11930,2023/07/01 12:43:05.495
0,0,32510,20580,11930,2023/07/01 12:43:35.532
0,0,32510,20580,11930,2023/07/01 12:44:05.583
0,0,32510,20580,11930,2023/07/01 12:44:35.647
0,0,32510,20580,11930,2023/07/01 12:45:05.681
0,0,32510,20580,11930,2023/07/01 12:45:35.720
0,0,32510,20580,11930,2023/07/01 12:46:05.761
0,0,32510,20580,11930,2023/07/01 12:46:35.823
0,0,32510,20580,11930,2023/07/01 12:47:05.861
0,0,32510,20580,11930,2023/07/01 12:47:35.940
0,37,32510,20580,11930,2023/07/01 12:48:06.004
0,47,32510,20580,11930,2023/07/01 12:48:36.068
0,99,32510,20580,11930,2023/07/01 12:49:06.154
0,0,32510,20580,11930,2023/07/01 12:49:36.200
0,76,32510,20580,11930,2023/07/01 12:50:06.259
0,21,32510,20580,11930,2023/07/01 12:50:36.349
0,78,32510,20580,11930,2023/07/01 12:51:06.438
0,0,32510,20580,11930,2023/07/01 12:51:36.472
0,0,32510,20580,11930,2023/07/01 12:52:06.532
0,0,32510,20580,11930,2023/07/01 12:52:36.596
0,0,32510,20580,11930,2023/07/01 12:53:06.664
0,0,32510,20580,11930,2023/07/01 12:53:36.740
0,0,32510,20580,11930,2023/07/01 12:54:06.777
0,0,32510,20580,11930,2023/07/01 12:54:36.846
0,0,32510,20580,11930,2023/07/01 12:55:06.880
0,51,32510,20580,11930,2023/07/01 12:55:36.962
0,0,32510,20580,11930,2023/07/01 12:56:07.038
0,0,32510,20580,11930,2023/07/01 12:56:37.077
0,14,32510,20580,11930,2023/07/01 12:57:07.162
0,0,32510,20580,11930,2023/07/01 12:57:37.210
0,0,32510,20580,11930,2023/07/01 12:58:07.271
0,0,32510,20580,11930,2023/07/01 12:58:37.323
0,0,32510,20580,11930,2023/07/01 12:59:07.401
0,0,32510,20580,11930,2023/07/01 12:59:37.462
0,0,32510,20580,11930,2023/07/01 13:00:07.522
0,52,32510,20580,11930,2023/07/01 13:00:37.590
0,0,32510,20580,11930,2023/07/01 13:01:07.662
0,0,32510,20580,11930,2023/07/01 13:01:37.723
0,0,32510,20580,11930,2023/07/01 13:02:07.787
0,0,32510,20580,11930,2023/07/01 13:02:37.838
0,0,32510,20580,11930,2023/07/01 13:03:07.900
0,0,32510,20580,11930,2023/07/01 13:03:37.933
0,1,32510,20580,11930,2023/07/01 13:04:07.995
0,0,32510,20580,11930,2023/07/01 13:04:38.062
0,0,32510,20580,11930,2023/07/01 13:05:08.139
0,0,32510,20580,11930,2023/07/01 13:05:38.179
0,0,32510,20580,11930,2023/07/01 13:06:08.243
0,0,32510,20580,11930,2023/07/01 13:06:38.308
0,79,32510,20580,11930,2023/07/01 13:07:08.371
0,0,32510,20580,11930,2023/07/01 13:07:38.414
0,0,32510,20580,11930,2023/07/01 13:08:08.492
0,0,32510,20580,11930,2023/07/01 13:08:38.563
